month,region,omega,productivity,predictability,growth_rate,in_window
44,rural,0.4723840917966298,1.7851286548156147,0.5305546212201645,0.0038216675813584878,0.0
45,rural,0.4994100165712078,1.9113669555831272,0.5846064707693205,0.004040311905671813,0.0
46,rural,0.47374391419913503,1.7912990993335831,0.5332742660251749,0.0038326687756880724,0.0
47,rural,0.49459804414561326,1.8883032037568173,0.5749825259181314,0.004001382230984117,0.0
48,rural,0.5038263769304555,1.9327776947702024,0.5934391914878159,0.004076041011510966,0.0
49,rural,0.5004367921210682,1.9163237273569946,0.5866600218690412,0.0040486186943642696,0.0
50,rural,0.525819042910166,2.043169047085574,0.6374245234472369,0.00425396541680294,0.0
51,rural,0.5204977666991273,2.0158501732382788,0.6267819710251594,0.0042109153879380055,0.0
52,rural,0.5204103312814784,2.0154046800229195,0.6266071001898617,0.004210208020550123,0.0
53,rural,0.5044415936570368,1.9357792547173243,0.5946696249409784,0.004081018219381245,0.0
54,rural,0.5118617449454141,1.972358691612535,0.6095099275177331,0.00414104850431255,0.0
55,rural,0.4861463946036341,1.8484325784419335,0.5580792268341731,0.003933006949884492,0.0
56,rural,0.47280538670609257,1.787038447687754,0.53139721103909,0.003825075928772478,0.0
57,rural,0.49662135482162795,1.897967898861355,0.5790291472701607,0.004017751158202078,0.0
58,rural,0.484811271758397,1.8422056685889552,0.5554089811436989,0.003922205579170742,0.0
59,rural,0.49575374035769737,1.8938177767690354,0.5772939183422996,0.004010732009743224,0.0
60,rural,0.5203820556293017,2.015260635538535,0.6265505488855083,0.004209979265718744,0.0
1,innovation,0.7480919307854405,3.9663425692912515,0.9180297008022142,0.044016356409626575,1.0
2,innovation,0.7512433505345516,4.016096968482989,0.9117268613039919,0.04394072233564791,1.0
3,innovation,0.7577457513092886,4.122765968780891,0.898722059754518,0.043784664717054216,1.0
4,innovation,0.7415480487611817,3.8668187387601556,0.9311174648507317,0.044173409578208776,1.0
5,innovation,0.7473975900698614,3.955543719458293,0.9194183822333724,0.04403302058680047,1.0
6,innovation,0.74184559861257,3.871237215732834,0.930522365147955,0.04416626838177546,1.0
7,innovation,0.7306027000793275,3.710885574261249,0.9530081622144402,0.044436097946573286,1.0
8,innovation,0.7169310080736819,3.532514642957102,0.9803515462257313,0.04476421855470877,1.0
9,innovation,0.6867664518468173,3.1916785998518757,0.9593193413205394,0.04451183209584647,1.0
10,innovation,0.7242089458725626,3.6253484515718353,0.96579567062797,0.04458954804753564,1.0
11,innovation,0.7278512149443196,3.6735999809379285,0.958511132484456,0.04450213358981347,1.0
12,innovation,0.7335689948397585,3.751916423696171,0.9470755726935782,0.04436490687232294,1.0
13,innovation,0.7523434330728646,4.033757012982495,0.909526696227366,0.0439143203547284,1.0
14,innovation,0.7554259455144611,4.0840716634570855,0.903361671344173,0.04384034005613007,1.0
15,innovation,0.7579367306777424,4.125983974843099,0.8983401010176104,0.04378008121221133,1.0
16,innovation,0.7426180345532203,3.8827540059593186,0.9289774932666546,0.04414772991919985,1.0
17,innovation,0.7368169449932236,3.797871332768115,0.940579672386648,0.04428695606863978,1.0
18,innovation,0.7430490339812128,3.8892094221981286,0.9281154944106695,0.044137385932928035,1.0
19,innovation,0.7322864230038342,3.7340673667397004,0.9496407163654268,0.044395688596385124,1.0
20,innovation,0.7267926563140396,3.6594486532355526,0.960628249745016,0.04452753899694019,1.0
21,innovation,0.7251945101964723,3.6382831606517017,0.9638245419801506,0.044565894503761805,1.0
22,innovation,0.7301608211896389,3.7048480929496233,0.9538919199938174,0.04444670303992581,1.0
23,innovation,0.734339372767619,3.7627177768473437,0.9455348168378572,0.04434641780205429,1.0
24,innovation,0.7449062346738795,3.91726957125016,0.9244010930253361,0.04409281311630403,1.0
25,innovation,0.7552862029744826,4.08176377902349,0.90364115642413,0.04384369387708956,1.0
26,innovation,0.7678542420935579,4.300257973164608,0.8785050781859793,0.04354206093823175,1.0
27,innovation,0.7593062182892093,4.149207001122184,0.8956011257946765,0.04374721350953612,1.0
28,innovation,0.767896576188026,4.3010333669457355,0.8784204099970432,0.04354104491996452,1.0
29,innovation,0.7607012364037323,4.173131853690245,0.8928110895656305,0.04371373307478757,1.0
30,innovation,0.7480466058810818,3.9656358701712437,0.9181203506109314,0.044017444207331176,1.0
31,innovation,0.7349957159299503,3.7719683163708533,0.9442221305131946,0.04433066556615834,1.0
32,innovation,0.7357544926549823,3.7827181321904533,0.9427045770631306,0.04431245492475756,1.0
33,innovation,0.7378948349751269,3.813366664110606,0.9384238924228414,0.0442610867090741,1.0
34,innovation,0.7253879935061133,3.640832972323446,0.9634375753608686,0.04456125090433043,1.0
35,innovation,0.7416666565692321,3.868578820658647,0.9308802492346309,0.04417056299081557,1.0
36,innovation,0.7512806646235741,4.016693477017879,0.9116522331259469,0.043939826797511364,1.0
37,innovation,0.7550663189704403,4.078137573503789,0.9040809244322145,0.04384897109318658,1.0
38,innovation,0.7625833069803621,4.205848454648439,0.8890469484123709,0.043668563380948454,1.0
39,innovation,0.7581331966098708,4.129299644240186,0.8979471691533536,0.043775366029840244,1.0
40,innovation,0.7598990310877991,4.159340428019149,0.8944155001974969,0.04373298600236996,1.0
41,innovation,0.7504290008412364,4.00312218294534,0.9133555606906223,0.04396026672828747,1.0
42,innovation,0.7493894563826837,3.986679451623324,0.9154346496077277,0.04398521579529273,1.0
43,innovation,0.7414353637966848,3.865148006566318,0.9313428347797255,0.0441761140173567,1.0
44,innovation,0.7355897354573787,3.780378877900824,0.9430340914583377,0.04431640909750006,1.0
45,innovation,0.7410764391368342,3.8598358271135575,0.9320606840994268,0.04418472820919312,1.0
46,innovation,0.739605924669325,3.8382207630509235,0.9350017130344452,0.044220020556413345,1.0
47,innovation,0.7424568337018655,3.880344988304018,0.929299894969364,0.04415159873963237,1.0
48,innovation,0.7521062915154025,4.029937098593775,0.9100009793422901,0.04392001175210748,1.0
49,innovation,0.7584224943391392,4.134191650042439,0.8973685736948167,0.0437684228843378,1.0
50,innovation,0.7730869090938144,4.398266840515861,0.8680397441854664,0.0434164769302256,1.0
51,innovation,0.7759485795265348,4.45378276091784,0.8623164033200255,0.0433477968398403,1.0
52,innovation,0.7888263595782968,4.722083329483194,0.8365608432165015,0.043038730118598024,1.0
53,innovation,0.7821206707122661,4.578442355455893,0.849972220948563,0.04319966665138275,1.0
54,innovation,0.7732638939551955,4.401660047672149,0.8676857744627042,0.04341222929355245,1.0
55,innovation,0.7696678375156191,4.3337283064926,0.874877887341857,0.043498534648102286,1.0
56,innovation,0.7373021159189483,3.804830669176378,0.9396093305351985,0.04427531196642238,1.0
57,innovation,0.7506042128757409,4.005906774175273,0.9130051366216134,0.043956061639459365,1.0
58,innovation,0.7543135266179022,4.065771196233007,0.9055865091372908,0.04386703810964749,1.0
59,innovation,0.7592165069619715,4.147677770924421,0.8957805484491521,0.04374936658138982,1.0
60,innovation,0.7820133693078075,4.576215303640863,0.8501868237574801,0.04320224188508976,1.0
