omega,productivity,predictability,growth_rate,gini,in_window
6.800000000000000488e-02,2.560464178732987373e-01,2.220446049250313081e-16,5.501315561749644091e-04,2.440105244939971552e-01,0.000000000000000000e+00
7.000000000000000666e-02,2.634587159365342490e-01,2.220446049250313081e-16,5.663118960624632763e-04,2.453049516849970801e-01,0.000000000000000000e+00
7.200000000000000844e-02,2.708649598782773005e-01,2.220446049250313081e-16,5.824922359499622518e-04,2.465993788759970051e-01,0.000000000000000000e+00
7.399999999999999634e-02,2.782652141426648074e-01,2.220446049250313081e-16,5.986725758374611189e-04,2.478938060669969023e-01,0.000000000000000000e+00
7.599999999999999811e-02,2.856595437317924757e-01,2.220446049250313081e-16,6.148529157249600944e-04,2.491882332579968273e-01,0.000000000000000000e+00
7.799999999999999989e-02,2.930480142117645181e-01,2.220446049250313081e-16,6.310332556124589615e-04,2.504826604489967523e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.004306917188254156e-01,2.220446049250313081e-16,6.472135954999580455e-04,2.517770876399966773e-01,0.000000000000000000e+00
8.200000000000000344e-02,3.078076429655708379e-01,2.220446049250313081e-16,6.633939353874570210e-04,2.530715148309965468e-01,0.000000000000000000e+00
8.400000000000000522e-02,3.151789352472386119e-01,2.220446049250313081e-16,6.795742752749558881e-04,2.543659420219964717e-01,0.000000000000000000e+00
8.600000000000000699e-02,3.225446364480845096e-01,2.220446049250313081e-16,6.957546151624549721e-04,2.556603692129963967e-01,0.000000000000000000e+00
8.799999999999999489e-02,3.299048150478398611e-01,2.220446049250313081e-16,7.119349550499537308e-04,2.569547964039963217e-01,0.000000000000000000e+00
8.999999999999999667e-02,3.372595401282556526e-01,2.220446049250313081e-16,7.281152949374527063e-04,2.582492235949962467e-01,0.000000000000000000e+00
9.199999999999999845e-02,3.446088813797328898e-01,2.220446049250313081e-16,7.442956348249517903e-04,2.595436507859961717e-01,0.000000000000000000e+00
9.400000000000000022e-02,3.519529091080400018e-01,2.220446049250313081e-16,7.604759747124506574e-04,2.608380779769960967e-01,0.000000000000000000e+00
